id,Name,trN,trN,Entity ID,Number of positions,Track length,Start time,End time,Duration (second),Duration (minutes),Duration (hours),Hour (start),Hour (end)
3275,3275,104,315,13222,2,6.876983053639212,04/04/2007 06:15:46,04/04/2007 06:26:39,653,10.883333,0.18138888,6,6
3291,3291,105,317,13245,11,11.146210740673016,04/04/2007 05:35:49,04/04/2007 06:28:56,3187,53.116665,0.88527775,5,6
3308,3308,106,320,13258,6,7.791559000307845,04/04/2007 07:47:10,04/04/2007 08:05:52,1122,18.7,0.31166667,7,8
3331,3331,107,322,13299,9,10.243199559764475,04/04/2007 07:18:24,04/04/2007 08:26:03,4059,67.65,1.1275,7,8
3379,3379,108,326,13422,4,4.297206584840188,04/04/2007 06:35:22,04/04/2007 06:52:41,1039,17.316668,0.2886111,6,6
3416,3416,109,331,13522,6,4.348437768176743,04/04/2007 06:30:52,04/04/2007 06:57:21,1589,26.483334,0.4413889,6,6
3436,3436,110,333,13639,8,9.86909170010267,04/04/2007 06:36:33,04/04/2007 06:45:10,517,8.616667,0.14361112,6,6
3437,3437,111,334,13639,15,19.46832901245253,04/04/2007 08:55:42,04/04/2007 09:23:42,1680,28.0,0.46666667,8,9
3455,3455,112,341,13709,14,16.363515588071536,04/04/2007 05:38:05,04/04/2007 06:33:33,3328,55.466667,0.92444444,5,6
3468,3468,113,346,13714,9,16.400997183031212,04/04/2007 06:57:15,04/04/2007 07:40:23,2588,43.133335,0.71888894,6,7
3534,3534,114,350,13926,10,17.696971791828943,04/04/2007 06:22:25,04/04/2007 06:46:37,1452,24.2,0.40333334,6,6
3566,3566,115,353,13957,6,5.742981188497998,04/04/2007 07:33:46,04/04/2007 08:04:04,1818,30.3,0.505,7,8
3599,3599,116,358,14029,7,8.781483163362843,04/04/2007 06:34:56,04/04/2007 06:54:32,1176,19.6,0.32666668,6,6
3603,3603,117,360,14033,11,19.20851565180778,04/04/2007 07:55:55,04/04/2007 08:18:34,1359,22.65,0.3775,7,8
3609,3609,118,361,14063,9,13.052387634832003,04/04/2007 07:35:32,04/04/2007 08:00:11,1479,24.65,0.41083333,7,8
3610,3610,119,362,14063,11,18.685444810280874,04/04/2007 09:21:08,04/04/2007 09:51:44,1836,30.6,0.51,9,9
3630,3630,120,364,14213,15,6.031065462472967,04/04/2007 09:15:15,04/04/2007 10:21:09,3954,65.9,1.0983334,9,10
3655,3655,121,366,14238,4,4.829672424079928,04/04/2007 09:38:04,04/04/2007 10:03:46,1542,25.7,0.42833334,9,10
3698,3698,122,369,14763,8,11.433379753433536,04/04/2007 10:02:45,04/04/2007 10:18:36,951,15.85,0.26416668,10,10
3875,3875,123,380,15606,8,6.1732050552870525,04/04/2007 06:39:26,04/04/2007 07:01:53,1347,22.45,0.37416667,6,7
3893,3893,124,382,33090,9,10.979368273979372,04/04/2007 09:04:27,04/04/2007 09:34:06,1779,29.65,0.49416667,9,9
3918,3918,125,385,33111,7,9.264476712825253,04/04/2007 05:56:38,04/04/2007 06:37:19,2441,40.683334,0.6780556,5,6
3923,3923,126,387,33116,6,8.53302651189335,04/04/2007 07:45:16,04/04/2007 07:52:32,436,7.266667,0.12111112,7,7
3932,3932,127,389,33130,9,10.522924704041948,04/04/2007 06:59:58,04/04/2007 07:32:41,1963,32.716667,0.5452778,6,7
3943,3943,128,392,33155,11,13.401444093949218,04/04/2007 05:23:10,04/04/2007 06:17:49,3279,54.65,0.91083336,5,6
4008,4008,129,397,33282,8,8.928003188378135,04/04/2007 06:59:12,04/04/2007 07:22:03,1371,22.85,0.38083333,6,7
4039,4039,130,400,33289,11,10.851656004327172,04/04/2007 08:20:21,04/04/2007 09:06:30,2769,46.15,0.7691667,8,9
4040,4040,131,401,33289,7,14.765037653754886,04/04/2007 09:44:39,04/04/2007 10:08:51,1452,24.2,0.40333334,9,10
4067,4067,132,403,33314,13,21.79485011664058,04/04/2007 08:09:42,04/04/2007 08:47:30,2268,37.8,0.63,8,8
4068,4068,133,404,33314,15,25.516836726375146,04/04/2007 10:20:40,04/04/2007 10:37:18,998,16.633333,0.27722222,10,10
4082,4082,134,410,33390,23,31.219133606684846,04/04/2007 07:02:39,04/04/2007 07:55:29,3170,52.833332,0.8805555,7,7
