id,Name,Cluster 
1240,1240,class 1
1241,1241,class 1
1242,1242,class 1
1243,1243,class 1
1244,1244,class 2
1245,1245,
1246,1246,
1247,1247,
1248,1248,
1249,1249,class 1
1250,1250,class 1
1251,1251,class 1
1252,1252,
1253,1253,
1254,1254,
1255,1255,class 1
1256,1256,class 1
1257,1257,class 4
1258,1258,class 4
1259,1259,class 1
1260,1260,class 1
1261,1261,
1262,1262,class 1
1263,1263,
1264,1264,class 1
1265,1265,class 1
1266,1266,class 1
1267,1267,class 1
1268,1268,class 1
1269,1269,class 1
1270,1270,class 1
1271,1271,
1272,1272,class 1
1273,1273,class 4
1274,1274,class 1
1275,1275,class 1
1276,1276,class 1
1277,1277,class 1
1278,1278,class 1
1279,1279,class 1
1280,1280,class 1
1281,1281,
1282,1282,
1283,1283,class 1
1284,1284,
1285,1285,
1286,1286,
1287,1287,class 1
1288,1288,class 1
1289,1289,class 1
1290,1290,class 1
1291,1291,
1292,1292,
1293,1293,class 1
1294,1294,class 1
1295,1295,
1296,1296,
1297,1297,
1298,1298,
1299,1299,class 1
1300,1300,class 1
1301,1301,class 1
1302,1302,class 1
1303,1303,class 1
1304,1304,
1305,1305,
1306,1306,
1307,1307,class 1
1308,1308,
1309,1309,class 1
1310,1310,class 1
1311,1311,
1312,1312,
1313,1313,
1314,1314,
1315,1315,
1316,1316,class 1
1317,1317,class 1
1318,1318,class 1
1319,1319,
1320,1320,class 1
1321,1321,class 1
1322,1322,
1323,1323,
1324,1324,
1325,1325,class 1
1326,1326,
1327,1327,class 1
1328,1328,class 1
1329,1329,class 1
1330,1330,class 1
1331,1331,
1332,1332,
1333,1333,class 1
1334,1334,class 1
1335,1335,class 1
1336,1336,class 1
1337,1337,
1338,1338,class 1
1339,1339,class 3
1340,1340,class 3
1341,1341,class 1
1342,1342,class 4
1343,1343,
1344,1344,
1345,1345,
1346,1346,class 1
1347,1347,class 1
1348,1348,class 1
1349,1349,class 1
1350,1350,class 1
1351,1351,class 1
1352,1352,
1353,1353,class 1
1354,1354,class 1
1355,1355,class 1
1356,1356,
1357,1357,
1358,1358,
1359,1359,class 1
1360,1360,class 1
1361,1361,class 1
1362,1362,
1363,1363,
1364,1364,
1365,1365,
1366,1366,
1367,1367,class 1
1368,1368,class 1
1369,1369,
1370,1370,
1371,1371,
1372,1372,
1373,1373,class 1
1374,1374,
1375,1375,
1376,1376,
1377,1377,
1378,1378,class 1
1379,1379,
1380,1380,class 3
1381,1381,
1382,1382,
1383,1383,
1384,1384,
1385,1385,
1386,1386,class 1
1387,1387,class 1
1388,1388,class 3
1389,1389,class 1
1390,1390,class 1
1391,1391,class 1
1392,1392,
1393,1393,class 1
1394,1394,
1395,1395,
1396,1396,
1397,1397,class 1
1398,1398,class 1
1399,1399,
1400,1400,
1401,1401,
1402,1402,
1403,1403,
1404,1404,
1405,1405,
1406,1406,
1407,1407,
1408,1408,
1409,1409,class 1
1410,1410,class 1
1411,1411,class 1
1412,1412,class 1
1413,1413,class 1
1414,1414,class 1
1415,1415,
1416,1416,class 1
1417,1417,class 1
1418,1418,
1419,1419,
1420,1420,
1421,1421,class 1
1422,1422,class 1
1423,1423,
1424,1424,
1425,1425,class 1
1426,1426,
1427,1427,
1428,1428,
1429,1429,
1430,1430,
1431,1431,
1432,1432,class 4
1433,1433,class 1
1434,1434,
1435,1435,
1436,1436,class 1
1437,1437,class 1
1438,1438,
1439,1439,
1440,1440,class 3
1441,1441,class 1
1442,1442,class 1
1443,1443,
1444,1444,
1445,1445,
1446,1446,
1447,1447,class 5
1448,1448,class 5
1449,1449,
1450,1450,
1451,1451,class 3
1452,1452,class 3
1453,1453,
1454,1454,
1455,1455,class 1
1456,1456,class 2
1457,1457,
1458,1458,
1459,1459,
1460,1460,
1461,1461,
1462,1462,class 1
1463,1463,class 1
1464,1464,class 1
1465,1465,
1466,1466,
1467,1467,
1468,1468,class 1
1469,1469,class 1
1470,1470,class 1
1471,1471,
1472,1472,
1473,1473,class 1
1474,1474,
1475,1475,
1476,1476,
1477,1477,class 1
1478,1478,class 1
1479,1479,class 1
1480,1480,class 4
1481,1481,class 1
1482,1482,class 1
1483,1483,class 1
1484,1484,class 1
1485,1485,class 1
1486,1486,class 1
1487,1487,class 1
1488,1488,class 1
1489,1489,
1490,1490,
1491,1491,class 6
1492,1492,class 1
1493,1493,
1494,1494,
1495,1495,class 1
1496,1496,
1497,1497,
1498,1498,class 1
1499,1499,class 1
1500,1500,class 1
1501,1501,class 3
1502,1502,
1503,1503,class 1
1504,1504,class 1
1505,1505,
1506,1506,
1507,1507,class 1
1508,1508,
1509,1509,
1510,1510,class 1
1511,1511,class 1
1512,1512,
1513,1513,
1514,1514,class 1
1515,1515,class 1
1516,1516,class 1
1517,1517,class 1
1518,1518,
1519,1519,class 1
1520,1520,
1521,1521,class 1
1522,1522,class 1
1523,1523,class 1
1524,1524,class 1
1525,1525,class 1
1526,1526,class 1
1527,1527,class 1
1528,1528,
1529,1529,
1530,1530,
1531,1531,
1532,1532,
1533,1533,class 1
1534,1534,class 1
1535,1535,
1536,1536,
1537,1537,class 1
1538,1538,class 1
1539,1539,class 1
1540,1540,class 1
1541,1541,
1542,1542,
1543,1543,class 1
1544,1544,class 1
1545,1545,class 1
1546,1546,
1547,1547,
1548,1548,
1549,1549,
1550,1550,class 1
1551,1551,
1552,1552,
1553,1553,
1554,1554,
1555,1555,class 1
1556,1556,
1557,1557,
1558,1558,
1559,1559,class 1
1560,1560,class 1
1561,1561,
1562,1562,
1563,1563,
1564,1564,class 3
1565,1565,class 3
1566,1566,class 3
1567,1567,class 3
1568,1568,class 1
1569,1569,class 1
1570,1570,
1571,1571,class 1
1572,1572,
1573,1573,
1574,1574,
1575,1575,class 4
1576,1576,class 4
1577,1577,class 4
1578,1578,class 4
1579,1579,class 4
1580,1580,
1581,1581,class 1
1582,1582,class 1
1583,1583,class 1
1584,1584,
1585,1585,
1586,1586,
1587,1587,
1588,1588,
1589,1589,
1590,1590,
1591,1591,
1592,1592,
1593,1593,
1594,1594,
1595,1595,
1596,1596,
1597,1597,
1598,1598,
1599,1599,
1600,1600,
1601,1601,
1602,1602,
1603,1603,
1604,1604,
1605,1605,
1606,1606,
1607,1607,
1608,1608,
1609,1609,
1610,1610,
1611,1611,
1612,1612,
1613,1613,
1614,1614,class 1
1615,1615,
1616,1616,
1617,1617,
1618,1618,
1619,1619,
1620,1620,
1621,1621,
1622,1622,
1623,1623,
1624,1624,
1625,1625,
1626,1626,
1627,1627,
1628,1628,
1629,1629,
1630,1630,
1631,1631,
1632,1632,
1633,1633,
1634,1634,
1635,1635,
1636,1636,class 1
1637,1637,class 1
1638,1638,class 1
1639,1639,class 1
1640,1640,
1641,1641,
1642,1642,
1643,1643,
1644,1644,
1645,1645,class 1
1646,1646,class 1
1647,1647,class 1
1648,1648,
1649,1649,class 1
1650,1650,class 1
1651,1651,
1652,1652,class 1
1653,1653,
